City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,County,Date
Pisco,-13.7,-76.22,63.0,82,0,13.87,PE,1602560253
Lompoc,34.64,-120.46,64.99,52,1,6.85,US,1602560096
Faanui,-16.48,-151.75,78.46,80,4,11.86,PF,1602560254
Norman Wells,65.28,-126.83,23.0,67,75,3.36,CA,1602560254
Ponta do Sol,32.67,-17.1,69.8,73,20,16.11,PT,1602560254
Bhasāwar,27.03,77.03,85.51,39,0,4.18,IN,1602560255
Port Alfred,-33.59,26.89,62.13,50,6,18.95,ZA,1602560255
Maniitsoq,65.42,-52.9,40.15,83,99,15.12,GL,1602560255
San Miguel,13.48,-88.18,75.74,89,100,1.88,SV,1602560255
Bluff,-46.6,168.33,55.99,70,71,3.0,NZ,1602560256
Skibbereen,51.55,-9.27,46.4,87,40,12.75,IE,1602560256
Wukari,7.85,9.78,72.93,95,25,7.74,NG,1602560256
George Town,5.41,100.34,75.2,94,40,3.36,MY,1602560256
Ouadda,8.08,22.4,69.13,93,99,4.07,CF,1602560256
Qaanaaq,77.48,-69.36,24.08,87,55,4.23,GL,1602560257
Mataura,-46.19,168.86,55.99,70,62,3.0,NZ,1602560257
Sterling,39.01,-77.43,55.99,93,90,6.93,US,1602560111
Hermanus,-34.42,19.23,57.99,92,92,5.01,ZA,1602560257
New Norfolk,-42.78,147.06,63.0,36,3,1.01,AU,1602560258
Kapaa,22.08,-159.32,84.2,74,40,5.82,US,1602560130
Rikitea,-23.12,-134.97,73.47,76,8,16.06,PF,1602560258
Santa Teresa del Tuy,10.23,-66.66,69.01,93,97,1.74,VE,1602560258
Dukat,62.55,155.55,33.87,78,100,6.46,RU,1602560259
Kahului,20.89,-156.47,89.6,49,40,14.99,US,1602560191
Albany,42.6,-73.97,53.01,68,99,9.22,US,1602560102
Yellowknife,62.46,-114.35,32.0,91,75,33.33,CA,1602560101
Ushuaia,-54.8,-68.3,48.2,61,75,4.7,AR,1602560259
Chegdomyn,51.12,133.02,37.4,67,66,13.15,RU,1602560260
Saint Paul Harbor,57.79,-152.41,44.6,81,90,3.09,US,1602560260
Clyde River,70.47,-68.59,28.4,100,90,3.36,CA,1602560260
Cape Town,-33.93,18.42,59.0,93,75,3.36,ZA,1602559986
Tortolì,39.93,9.66,54.93,68,35,6.49,IT,1602560261
Korla,41.76,86.15,56.48,34,0,6.87,CN,1602560262
Blackwater,-23.58,148.88,84.97,28,34,7.43,AU,1602560262
Magdalena,14.2,121.43,91.4,63,75,11.41,PH,1602559981
Letlhakeng,-24.09,25.03,57.36,79,0,7.83,BW,1602560262
Mar del Plata,-38.0,-57.56,48.0,100,1,1.52,AR,1602560163
Puerto Ayora,-0.74,-90.35,70.0,91,35,1.99,EC,1602559998
Grand Gaube,-20.01,57.66,75.0,81,5,5.99,MU,1602560263
Azuaga,38.27,-5.68,52.0,45,0,5.99,ES,1602560263
Tasiilaq,65.61,-37.64,41.0,86,100,23.04,GL,1602560263
Abu Samrah,35.3,37.18,61.0,76,6,4.05,SY,1602560264
Punta Arenas,-53.15,-70.92,42.8,87,75,26.4,CL,1602560264
Vaini,-21.2,-175.2,75.2,69,40,12.75,TO,1602560264
Linxia Chengguanzhen,35.6,103.21,39.25,87,100,6.4,CN,1602560265
Kendari,-3.94,122.5,86.5,62,52,6.35,ID,1602560265
Carnarvon,-24.87,113.63,73.4,73,0,14.99,AU,1602560265
Kaitangata,-46.28,169.85,53.01,76,90,8.99,NZ,1602560265
Zyryanskoye,56.83,86.63,39.2,96,100,5.23,RU,1602560265
Lebu,-37.62,-73.65,49.6,85,0,19.55,CL,1602560266
Ostrovnoy,68.05,39.51,42.1,86,100,21.74,RU,1602560266
Jamestown,42.1,-79.24,55.0,81,90,14.99,US,1602560266
Freetown,8.48,-13.23,76.86,84,100,2.71,SL,1602560069
Bela,25.93,81.98,86.09,64,6,6.49,IN,1602560267
Castro,-24.79,-50.01,59.4,70,0,2.46,BR,1602560267
Jizan,17.33,42.67,82.4,78,0,3.83,SA,1602560267
Arraial do Cabo,-22.97,-42.03,70.99,85,74,25.68,BR,1602560267
Paradise Valley,33.53,-111.94,87.8,17,1,3.36,US,1602560268
Taoudenni,22.68,-3.98,82.89,21,0,1.3,ML,1602560268
Shelburne,44.08,-80.2,57.2,82,90,13.87,CA,1602560268
Cabo San Lucas,22.89,-109.91,80.01,67,100,8.59,MX,1602560017
Chaman,30.92,66.45,56.82,28,0,5.5,PK,1602560269
Chokurdakh,70.63,147.92,21.42,94,85,7.4,RU,1602560269
Sioux Lookout,50.1,-91.92,41.0,80,5,3.36,CA,1602560243
Upernavik,72.79,-56.15,28.26,91,16,5.5,GL,1602560270
Bengkulu,-3.8,102.27,84.52,67,83,6.17,ID,1602560049
Gemeente Wageningen,51.97,5.67,48.0,100,90,5.82,NL,1602560270
Shimanovsk,52.0,127.7,32.05,88,100,9.86,RU,1602560270
Port Hedland,-20.32,118.57,104.0,20,0,13.87,AU,1602560270
Atuona,-9.8,-139.03,78.62,71,82,14.12,PF,1602560271
Marovoay,-16.1,46.63,75.2,94,20,4.7,MG,1602560271
Dikson,73.51,80.55,33.3,87,100,17.27,RU,1602560271
Wanaka,-44.7,169.15,59.5,49,65,12.41,NZ,1602560271
Chickasha,35.05,-97.94,57.2,54,1,6.02,US,1602560272
Oistins,13.07,-59.53,82.4,78,40,12.75,BB,1602560272
Bredasdorp,-34.53,20.04,59.0,87,68,10.29,ZA,1602560046
Nikolayevka,53.13,47.2,50.31,49,83,5.06,RU,1602560272
Fasa,28.94,53.65,44.6,26,0,8.25,IR,1602560273
Hermon,44.81,-68.91,32.0,92,1,2.08,US,1602560273
Butaritari,3.07,172.79,82.89,72,6,14.74,KI,1602560273
Busselton,-33.65,115.33,81.0,38,96,0.78,AU,1602560273
Lázaro Cárdenas,17.96,-102.2,79.29,80,94,3.65,MX,1602560274
Alofi,-19.06,-169.92,77.0,61,40,20.8,NU,1602560274
Leningradskiy,69.38,178.42,22.35,88,86,3.83,RU,1602560274
Aklavik,68.22,-135.01,21.2,73,90,8.05,CA,1602560274
Esperance,-33.87,121.9,73.4,49,2,11.41,AU,1602560275
Chimbote,-9.09,-78.58,61.18,90,56,4.65,PE,1602559976
Neiafu,-18.65,-173.98,77.0,69,75,12.75,TO,1602560275
Bubaque,11.28,-15.83,80.49,80,100,10.65,GW,1602560275
Cervo,43.67,-7.41,59.0,1,100,10.38,ES,1602560275
Bilibino,68.05,166.44,21.4,81,0,1.1,RU,1602560276
Thompson,55.74,-97.86,35.6,89,75,13.87,CA,1602560276
Russell,32.35,-85.2,71.6,94,1,3.15,US,1602560276
Tuktoyaktuk,69.45,-133.04,23.0,79,90,13.87,CA,1602560276
Saint-Philippe,-21.36,55.77,75.2,64,90,3.36,RE,1602560277
Meulaboh,4.14,96.13,83.34,68,94,5.08,ID,1602560277
São Joaquim,-28.29,-49.93,49.26,100,0,1.23,BR,1602560277
Geraldton,-28.77,114.6,73.4,64,90,11.41,AU,1602560278
Oktyabr'skoye,43.06,44.74,41.0,93,0,4.47,RU,1602560278
Hof,50.32,11.92,37.99,97,0,0.94,DE,1602560278
Hobart,-42.88,147.33,63.0,50,20,17.22,AU,1602560008
Cidreira,-30.18,-50.21,60.42,83,8,10.85,BR,1602560278
Hilo,19.73,-155.09,82.4,69,40,8.05,US,1602559867
Preston,53.77,-2.72,45.0,90,51,5.3,GB,1602560279
Atagay,55.1,99.39,35.51,71,95,4.09,RU,1602560279
Berlevåg,70.86,29.09,35.6,93,75,17.22,NO,1602560279
Tiksi,71.69,128.87,12.99,92,0,3.6,RU,1602560280
Saint George,37.1,-113.58,73.4,17,1,5.82,US,1602560248
Rocha,-34.48,-54.33,53.87,91,74,10.69,UY,1602560246
Lüderitz,-26.65,15.16,61.48,39,0,16.51,NA,1602560280
Bonavista,48.65,-53.11,39.99,85,13,8.01,CA,1602560281
Cayenne,4.93,-52.33,75.2,100,2,1.12,GF,1602560281
Avarua,-21.21,-159.78,71.6,83,85,9.17,CK,1602560281
Solnechnyy,50.72,136.63,42.94,56,51,8.34,RU,1602560282
Fram,-26.98,-55.88,60.44,69,0,5.93,PY,1602560282
Humaitá,-7.51,-63.02,78.24,60,73,2.39,BR,1602560282
Jalu,29.03,21.55,72.88,38,2,12.37,LY,1602560282
Chimoio,-19.12,33.48,60.8,100,75,4.65,MZ,1602560283
Waipawa,-41.41,175.52,62.6,72,2,18.34,NZ,1602560283
Khatanga,71.97,102.5,27.88,97,100,14.7,RU,1602560283
Portland,45.52,-122.68,57.99,79,77,4.72,US,1602559582
Barrow,71.29,-156.79,24.8,79,90,8.05,US,1602560284
Villamontes,-21.25,-63.5,80.02,33,100,3.22,BO,1602560284
Astoria,46.19,-123.83,53.6,93,1,3.36,US,1602560284
Puerto Madryn,-42.77,-65.04,62.78,35,3,5.17,AR,1602560284
Wanxian,30.8,108.39,72.77,64,79,4.54,CN,1602560285
Provideniya,64.38,-173.3,35.6,59,3,8.95,RU,1602560285
Margate,51.38,1.39,50.0,100,100,1.99,GB,1602560285
Colchester,51.89,0.9,46.99,99,54,7.85,GB,1602560285
Husavik,66.04,-17.34,37.4,74,14,9.17,IS,1602560285
Kruisfontein,-34.0,24.73,54.0,79,0,24.02,ZA,1602560286
Kpandae,8.47,-0.01,72.88,91,3,4.36,GH,1602560286
Airai,-8.93,125.41,79.38,44,100,6.22,TL,1602560287
Porangatu,-13.44,-49.15,75.47,76,16,3.91,BR,1602560287
Mitsamiouli,-11.38,43.28,79.84,80,1,7.74,KM,1602560287
Gari,59.43,62.35,42.13,76,100,9.19,RU,1602560288
Yulara,-25.24,130.99,87.8,8,14,19.46,AU,1602560288
Tuatapere,-46.13,167.68,55.99,70,91,3.0,NZ,1602560288
Kavaratti,10.57,72.64,81.86,80,100,18.32,IN,1602560289
Matata,-37.88,176.75,61.0,94,96,8.01,NZ,1602560289
Iqaluit,63.75,-68.51,19.4,92,5,10.29,CA,1602560289
Homer,59.64,-151.55,44.6,75,90,2.08,US,1602560110
Ilulissat,69.22,-51.1,33.8,69,100,5.82,GL,1602560289
Saskylakh,71.92,114.08,21.76,97,96,8.86,RU,1602560290
Burnie,-41.07,145.92,60.01,45,57,11.01,AU,1602560290
Egvekinot,66.32,-179.17,22.91,95,37,0.87,RU,1602560290
Bethel,41.37,-73.41,50.0,93,90,12.75,US,1602560290
Phan Thiet,10.93,108.1,81.66,80,100,6.55,VN,1602560290
Bāfq,31.61,55.41,56.35,25,0,0.76,IR,1602560291
Sambava,-14.27,50.17,75.18,86,23,6.53,MG,1602560291
Port Lincoln,-34.73,135.87,65.08,75,41,8.37,AU,1602560291
Ndola,-12.96,28.64,61.12,93,34,5.77,ZM,1602560291
Acapulco de Juárez,16.86,-99.89,79.63,79,43,3.65,MX,1602560291
Tayoltita,24.08,-105.93,69.94,63,94,3.11,MX,1602560292
Golub-Dobrzyń,53.11,19.05,39.0,76,100,6.11,PL,1602560292
Kerema,-7.96,145.78,83.79,75,57,10.13,PG,1602560292
Yumen,40.28,97.2,50.18,36,100,11.05,CN,1602560292
Pevek,69.7,170.31,24.62,91,25,10.36,RU,1602560292
Codrington,-38.27,141.97,57.06,76,79,13.0,AU,1602560293
